Player,Real,Predicted,Position,Payroll Salary,Team
Joey Gallo,0.7140000000000001,0.8070048000000001,RF,6200000,Texas Rangers
Jon Berti,0.722,0.79287267,2B,607500,Miami Marlins
Jonathan Schoop,0.6743333333333333,0.8011173,2B,4500000,Detroit Tigers
Jonathan Villar,0.599,0.7819126999999999,OF,3550000,New York Mets
Jordan Luplow,0.63,0.7935547,LF,581500,Cleveland Indians
Jorge Alfaro,0.6233333333333333,0.77965105,C,2050000,Miami Marlins
Jorge Ona,0.556,0.76871794,OF,570500,San Diego Padres
Jorge Soler,0.7130000000000001,0.806167,DH,8050000,Kansas City Royals
Jose Abreu,0.858,0.8211295,1B,17666666,Chicago White Sox
Jose Devers,0.322,0.7201039,SS,570500,Miami Marlins
Jose Iglesias,0.7216666666666667,0.80605763,SS,3500000,Los Angeles Angels
Jose Lobaton,0.6920000000000001,0.7927350000000001,C,1000000,Chicago Cubs
Jose Martinez,0.5696666666666667,0.7892391,1B,1000000,New York Mets
Jose Peraza,0.6409999999999999,0.78406703,SS,575000,New York Mets
Jose Ramirez,0.606,0.78438455,3B,9400000,Cleveland Indians
Josh Bell,0.6596666666666666,0.7856535,1B,6350000,Washington Nationals
Josh Donaldson,0.7939999999999999,0.8239491,3B,21000000,Minnesota Twins
Josh Harrison,0.7106666666666666,0.8025709,2B,1000000,Washington Nationals
Josh Naylor,0.67125,0.7934342,RF,577500,Cleveland Indians
Juan Soto,0.7166666666666667,0.81315035,RF,8500000,Washington Nationals
Jurickson Profar,0.6086666666666667,0.78608394,2B,4333333,San Diego Padres
Justin Turner,0.544,0.76871794,3B,12000000,Los Angeles Dodgers
Justin Upton,0.411,0.753637,LF,23000000,Los Angeles Angels
Ketel Marte,0.6919999999999998,0.8084326000000001,CF,6000000,Arizona Diamondbacks
Kevin Kiermaier,0.7609999999999999,0.81173563,CF,11666666,Tampa Bay Rays
Kevin Pillar,0.506,0.7758415,CF,3600000,New York Mets
Kevin Plawecki,0.7586666666666667,0.80165833,C,1600000,Boston Red Sox
Kole Calhoun,0.731,0.8138192,RF,8000000,Arizona Diamondbacks
Kolten Wong,0.7233333333333333,0.8011191999999999,2B,7500000,Milwaukee Brewers
Kris Bryant,0.7079999999999999,0.8026708,3B,19500000,Chicago Cubs
Kurt Suzuki,0.7076666666666666,0.8078723000000001,C,1500000,Los Angeles Angels
Kyle Garlick,0.5823333333333334,0.78877395,RF,570500,Minnesota Twins
Kyle Higashioka,0.5710000000000001,0.78305894,C,594000,New York Yankees
Kyle Lewis,0.609,0.7959748000000001,CF,625000,Seattle Mariners
Kyle Schwarber,0.7473333333333333,0.8015005000000001,LF,7000000,Washington Nationals
Kyle Seager,0.6926666666666667,0.8048803000000001,3B,18500000,Seattle Mariners
Leury Garcia,0.7686666666666667,0.81533015,OF,3500000,Chicago White Sox
Lorenzo Cain,0.8959999999999999,0.8075689,CF,16000000,Milwaukee Brewers
Luis Robert,0.6345000000000001,0.7856014,CF,3500000,Chicago White Sox
Luke Voit,0.68375,0.8059618000000001,1B,4700000,New York Yankees
Maikel Franco,0.6326666666666666,0.79276097,3B,800000,Baltimore Orioles
Manuel Margot,0.5153333333333333,0.77141875,RF,3400000,Tampa Bay Rays
Marcell Ozuna,0.638,0.8040968000000001,LF,16000000,Atlanta Braves
Marcus Semien,0.6286666666666667,0.8028781999999999,SS,18000000,Toronto Blue Jays
Mark Canha,0.621,0.7925789000000001,LF,6925000,Oakland Athletics
Mark Mathias,0.225,0.74504155,2B,572000,Milwaukee Brewers
Martin Maldonado,0.6896,0.8011666999999999,C,3500000,Houston Astros
Marwin Gonzalez,0.7546666666666667,0.81484056,LF,3000000,Boston Red Sox
Matt Carpenter,0.6926666666666668,0.80265975,3B,18500000,St. Louis Cardinals
Matt Chapman,0.6366666666666667,0.78783375,3B,6490000,Oakland Athletics
Matt Joyce,0.6786666666666666,0.80254596,LF,1500000,Philadelphia Phillies
Matt Olson,0.6699999999999999,0.7956615,1B,5000000,Oakland Athletics
Max Kepler,0.7083333333333334,0.8039679,RF,6500000,Minnesota Twins
Max Moroff,0.8585,0.8135796999999999,2B,570500,St. Louis Cardinals
Max Stassi,0.77525,0.81416523,C,1600000,Los Angeles Angels
Michael Brantley,0.6683333333333333,0.7970255999999999,LF,16000000,Houston Astros
Michael Conforto,0.6766666666666667,0.796082,RF,12250000,New York Mets
Michael Taylor,0.8343333333333334,0.8275849000000001,CF,1750000,Kansas City Royals
Miguel Andujar,0.6476666666666667,0.792167,3B,639000,New York Yankees
Miguel Cabrera,0.7280000000000001,0.81047934,DH,30000000,Detroit Tigers
Miguel Rojas,0.594,0.78314066,SS,5000000,Miami Marlins
Miguel Sano,0.8456666666666667,0.82828844,1B,11000000,Minnesota Twins
Mike Moustakas,0.758,0.8124094000000001,2B,14000000,Cincinnati Reds
Mike Trout,0.7746666666666666,0.8119122,CF,37166667,Los Angeles Angels
Mike Zunino,0.6803333333333335,0.8005485999999999,C,2000000,Tampa Bay Rays
Mitch Haniger,0.6005,0.78678477,RF,3010000,Seattle Mariners
Mitch Moreland,0.7045,0.79472136,1B,2250000,Oakland Athletics
Mookie Betts,0.6003333333333334,0.7915348000000001,RF,22500000,Los Angeles Dodgers
Nelson Cruz,0.6637500000000001,0.80076104,DH,13000000,Tampa Bay Rays
Nick Ahmed,0.6946666666666667,0.8054229,SS,8125000,Arizona Diamondbacks
Nick Castellanos,0.78375,0.8152925999999999,RF,14075000,Cincinnati Reds
Nick Madrigal,0.4955,0.77185553,2B,584000,Chicago White Sox
Nick Senzel,0.8153333333333332,0.8211537,3B,580500,Cincinnati Reds
Niko Goodrum,0.6183333333333333,0.7872228,2B,2100000,Detroit Tigers
Odubel Herrera,0.74,0.8172147,CF,10350000,Philadelphia Phillies
Omar Narvaez,0.6153333333333334,0.7845493,C,2500000,Milwaukee Brewers
Orlando Arcia,0.60475,0.78783154,SS,2000000,Atlanta Braves
Ozzie Albies,0.5973333333333334,0.7892971,2B,3000000,Atlanta Braves
P.J. Higgins,0.885,0.8359252,C,570500,Chicago Cubs
Pablo Sandoval,0.67425,0.79239005,3B,1000000,Atlanta Braves
Paul DeJong,0.8290000000000001,0.8199542,SS,4166666,St. Louis Cardinals
Paul Goldschmidt,0.765,0.81717086,1B,26000000,St. Louis Cardinals
Pedro Severino,0.5713333333333334,0.78700703,C,1825000,Baltimore Orioles
Rafael Devers,0.7069999999999999,0.8090309,3B,4575000,Boston Red Sox
Raimel Tapia,0.6466666666666666,0.7973751,LF,1950000,Colorado Rockies
Randal Grichuk,0.6920000000000001,0.7961281,RF,10333333,Toronto Blue Jays
Rene Rivera,0.75125,0.80648863,C,570500,Washington Nationals
Rhys Hoskins,0.6459999999999999,0.79716134,1B,4800000,Philadelphia Phillies
Richie Martin,0.245,0.71566975,SS,570500,Baltimore Orioles
Rob Refsnyder,0.6034999999999999,0.79150695,RF,570500,Minnesota Twins
Robbie Grossman,0.624,0.79750043,LF,5000000,Detroit Tigers
Roberto Perez,0.7443333333333334,0.8139394,C,5500000,Cleveland Indians
Robinson Chirinos,0.7045,0.8063805000000001,C,1000000,Chicago Cubs
Roman Quinn,0.628,0.79317534,CF,578000,Philadelphia Phillies
Ronald Guzman,0.6366666666666667,0.7906645999999999,1B,606000,Texas Rangers
Rougned Odor,0.7800000000000001,0.81777453,2B,12333333,New York Yankees
Ryan McMahon,0.6333333333333333,0.7915485999999999,2B,2375000,Colorado Rockies
Salvador Perez,0.556,0.77960837,C,14200000,Kansas City Royals
Sam Haggerty,0.6915,0.8013618,2B,574300,Seattle Mariners
Shogo Akiyama,0.7494999999999999,0.8106726,CF,7000000,Cincinnati Reds
Shohei Ohtani,0.6990000000000001,0.7900384,SP,3000000,Los Angeles Angels
Starling Marte,0.6625000000000001,0.7879010000000001,CF,12500000,Miami Marlins
Stephen Piscotty,0.763,0.81401056,RF,7583333,Oakland Athletics
Stephen Vogt,0.87125,0.8282296,C,3500000,Atlanta Braves
Teoscar Hernandez,0.7066666666666667,0.805584,DH,4325000,Toronto Blue Jays
Tim Anderson,0.5316666666666666,0.770263,SS,7250000,Chicago White Sox
Tom Murphy,0.6739999999999999,0.7932975,C,875000,Seattle Mariners
Tommy La Stella,0.7667499999999999,0.81615615,2B,2000000,San Francisco Giants
Tommy Pham,0.6333333333333333,0.8042694,LF,8900000,San Diego Padres
Tony Kemp,0.7715,0.80096716,2B,1050000,Oakland Athletics
Travis Shaw,0.636,0.7837029000000001,1B,1500000,Milwaukee Brewers
Travis d'Arnaud,0.7605999999999999,0.8138308000000001,C,8000000,Atlanta Braves
Trea Turner,0.5233333333333333,0.78669506,SS,13000000,Washington Nationals
Trevor Story,0.6409999999999999,0.7944975999999999,SS,18500000,Colorado Rockies
Trey Mancini,0.675,0.78826356,DH,4750000,Baltimore Orioles
Tucker Barnhart,0.5876666666666667,0.7765373000000001,C,4187500,Cincinnati Reds
Victor Caratini,0.7363333333333334,0.81539094,C,1300000,San Diego Padres
Wil Myers,0.662,0.7857081,LF,22500000,San Diego Padres
Will Smith,0.6563333333333333,0.7949048000000001,RP/CL,13000000,Atlanta Braves
Willie Calhoun,0.785,0.8159116999999999,DH,593000,Texas Rangers
Willson Contreras,0.5479999999999999,0.80437815,C,6650000,Chicago Cubs
Wilmer Flores,0.6946666666666669,0.7925423,2B,3000000,San Francisco Giants
Yadier Molina,0.6609999999999999,0.7897847,C,9000000,St. Louis Cardinals
Yan Gomes,0.7929999999999999,0.8226882999999999,C,6000000,Washington Nationals
Yasmani Grandal,0.5670000000000001,0.7753257,C,18250000,Chicago White Sox
Yonathan Daza,0.5425,0.7767371999999999,RF,572500,Colorado Rockies
